problema,perc,rank,fecha,str_perc
Pobreza,41.7,2,Feb 2006,41.7 %
Corrupción,18.9,3,Feb 2006,18.9 %
Falta de apoyo a la agricultura,16.3,4,Feb 2006,16.3 %
Proliferación de la delincuencia,9.8,5,Feb 2006,9.8 %
Falta de empleo,49.5,1,Mar 2006,49.5 %
Pobreza,40.9,2,Mar 2006,40.9 %
Corrupción,17.8,3,Mar 2006,17.8 %
Falta de apoyo a la agricultura,17.8,4,Mar 2006,17.8 %
Bajos sueldos,9.9,5,Mar 2006,9.9 %
Pobreza,43.8,1,Apr 2006,43.8 %
Falta de empleo,41.6,2,Apr 2006,41.6 %
Falta de apoyo a la agricultura,18,3,Apr 2006,18 %
Corrupción,17.9,4,Apr 2006,17.9 %
Bajos sueldos,10.9,5,Apr 2006,10.9 %
Falta de empleo,45.6,1,May 2006,45.6 %
Pobreza,45.2,2,May 2006,45.2 %
Corrupción,19.2,3,May 2006,19.2 %
Falta de apoyo a la agricultura,15.6,4,May 2006,15.6 %
Proliferación de la delincuencia,10.3,5,May 2006,10.3 %
Pobreza,43.5,1,Jun 2006,43.5 %
Falta de empleo,42.1,2,Jun 2006,42.1 %
Corrupción,19.2,3,Jun 2006,19.2 %
Falta de apoyo a la agricultura,16.2,4,Jun 2006,16.2 %
Proliferación de la delincuencia,11.1,5,Jun 2006,11.1 %
Pobreza,45.7,1,Jul 2006,45.7 %
Falta de empleo,41.8,2,Jul 2006,41.8 %
Corrupción,17.8,3,Jul 2006,17.8 %
Falta de apoyo a la agricultura,17,4,Jul 2006,17 %
Proliferación de la delincuencia,11,5,Jul 2006,11 %
Falta de empleo,45.1,1,Aug 2006,45.1 %
Pobreza,43.1,2,Aug 2006,43.1 %
Corrupción,17.4,3,Aug 2006,17.4 %
Falta de apoyo a la agricultura,15.1,4,Aug 2006,15.1 %
Proliferación de la delincuencia,12.8,5,Aug 2006,12.8 %
Pobreza,42.7,1,Sep 2006,42.7 %
Falta de empleo,41.7,2,Sep 2006,41.7 %
Corrupción,18.5,3,Sep 2006,18.5 %
Falta de apoyo a la agricultura,15.5,4,Sep 2006,15.5 %
Proliferación de la delincuencia,12.9,5,Sep 2006,12.9 %
Pobreza,42.5,1,Oct 2006,42.5 %
Falta de empleo,39,2,Oct 2006,39 %
Corrupción,19.6,3,Oct 2006,19.6 %
Falta de apoyo a la agricultura,14.4,4,Oct 2006,14.4 %
Proliferación de la delincuencia,12.2,5,Oct 2006,12.2 %
Pobreza,41.5,1,Nov 2006,41.5 %
Falta de empleo,38.4,2,Nov 2006,38.4 %
Corrupción,20.5,3,Nov 2006,20.5 %
Proliferación de la delincuencia,13.7,4,Nov 2006,13.7 %
Falta de apoyo a la agricultura,13.3,5,Nov 2006,13.3 %
Pobreza,43.1,1,Dec 2006,43.1 %
Falta de empleo,40.6,2,Dec 2006,40.6 %
Corrupción,20.4,3,Dec 2006,20.4 %
Falta de apoyo a la agricultura,15.8,4,Dec 2006,15.8 %
Proliferación de la delincuencia,12.1,5,Dec 2006,12.1 %
Pobreza,43,1,Jan 2007,43 %
Falta de empleo,42.3,2,Jan 2007,42.3 %
Corrupción,19.3,3,Jan 2007,19.3 %
Otro,13.5,4,Jan 2007,13.5 %
Mala calidad de la educación estatal,12.6,5,Jan 2007,12.6 %
Pobreza,44.5,1,Feb 2007,44.5 %
Falta de empleo,41.5,2,Feb 2007,41.5 %
Corrupción,18.5,3,Feb 2007,18.5 %
Otro,14.9,4,Feb 2007,14.9 %
Mala calidad de la educación estatal,11.2,5,Feb 2007,11.2 %
Pobreza,43.8,1,Mar 2007,43.8 %
Falta de empleo,42.2,2,Mar 2007,42.2 %
Corrupción,18.1,3,Mar 2007,18.1 %
Otro,16,4,Mar 2007,16 %
Mala calidad de la educación estatal,11.3,5,Mar 2007,11.3 %
Pobreza,44.9,1,Apr 2007,44.9 %
Falta de empleo,41.7,2,Apr 2007,41.7 %
Corrupción,16.7,3,Apr 2007,16.7 %
Otro,13.1,4,Apr 2007,13.1 %
Mala calidad de la educación estatal,11.8,5,Apr 2007,11.8 %
Pobreza,41.4,1,May 2007,41.4 %
Falta de empleo,39.4,2,May 2007,39.4 %
Corrupción,18.1,3,May 2007,18.1 %
Otro,17.1,4,May 2007,17.1 %
Falta de apoyo a la agricultura,11,5,May 2007,11 %
Pobreza,41.9,1,Jun 2007,41.9 %
Falta de empleo,40.6,2,Jun 2007,40.6 %
Otro,16.8,3,Jun 2007,16.8 %
Corrupción,16.6,4,Jun 2007,16.6 %
Mala calidad de la educación estatal,10,5,Jun 2007,10 %
Pobreza,39.4,1,Jul 2007,39.4 %
Falta de empleo,36.7,2,Jul 2007,36.7 %
Otro,17.9,3,Jul 2007,17.9 %
Bajos sueldos,15.4,4,Jul 2007,15.4 %
Corrupción,14.7,5,Jul 2007,14.7 %
Pobreza,43.9,1,Aug 2007,43.9 %
Falta de empleo,34.9,2,Aug 2007,34.9 %
Otro,19.4,3,Aug 2007,19.4 %
Corrupción,13.3,4,Aug 2007,13.3 %
Bajos sueldos,12,5,Aug 2007,12 %
Pobreza,42,1,Sep 2007,42 %
Falta de empleo,36.6,2,Sep 2007,36.6 %
Otro,19,3,Sep 2007,19 %
Corrupción,15.5,4,Sep 2007,15.5 %
Bajos sueldos,13,5,Sep 2007,13 %
Pobreza,39.5,1,Oct 2007,39.5 %
Falta de empleo,33.5,2,Oct 2007,33.5 %
Otro,20.5,3,Oct 2007,20.5 %
Bajos sueldos,17.4,4,Oct 2007,17.4 %
Corrupción,15.6,5,Oct 2007,15.6 %
Pobreza,40.5,1,Nov 2007,40.5 %
Falta de empleo,35.4,2,Nov 2007,35.4 %
Otro,21.3,3,Nov 2007,21.3 %
Corrupción,17.1,4,Nov 2007,17.1 %
Bajos sueldos,14.5,5,Nov 2007,14.5 %
Pobreza,38.8,1,Dec 2007,38.8 %
Falta de empleo,35.2,2,Dec 2007,35.2 %
Otro,20.5,3,Dec 2007,20.5 %
Corrupción,16,4,Dec 2007,16 %
Bajos sueldos,15.3,5,Dec 2007,15.3 %
Pobreza,37.4,1,Jan 2008,37.4 %
Falta de empleo,34.6,2,Jan 2008,34.6 %
Otro,22.1,3,Jan 2008,22.1 %
Bajos sueldos,17.5,4,Jan 2008,17.5 %
Corrupción,14.8,5,Jan 2008,14.8 %
Pobreza,36.4,1,Feb 2008,36.4 %
Falta de empleo,33,2,Feb 2008,33 %
Otro,23,3,Feb 2008,23 %
Bajos sueldos,19.8,4,Feb 2008,19.8 %
Corrupción,16.8,5,Feb 2008,16.8 %
Pobreza,34.1,1,Mar 2008,34.1 %
Falta de empleo,29.7,2,Mar 2008,29.7 %
Bajos sueldos,25.7,3,Mar 2008,25.7 %
Otro,21.5,4,Mar 2008,21.5 %
Corrupción,13.5,5,Mar 2008,13.5 %
Bajos sueldos,35,1,Apr 2008,35 %
Pobreza,34.4,2,Apr 2008,34.4 %
Falta de empleo,28.9,3,Apr 2008,28.9 %
Otro,20.5,4,Apr 2008,20.5 %
Corrupción,13.8,5,Apr 2008,13.8 %
Pobreza,36.9,1,May 2008,36.9 %
Bajos sueldos,34.9,2,May 2008,34.9 %
Falta de empleo,28.8,3,May 2008,28.8 %
Otro,21.8,4,May 2008,21.8 %
Corrupción,12.6,5,May 2008,12.6 %
Pobreza,39.3,1,Jun 2008,39.3 %
Bajos sueldos,32.1,2,Jun 2008,32.1 %
Falta de empleo,28.1,3,Jun 2008,28.1 %
Otro,20.4,4,Jun 2008,20.4 %
Corrupción,13.1,5,Jun 2008,13.1 %
Bajos sueldos,37.3,1,Jul 2008,37.3 %
Pobreza,36.9,2,Jul 2008,36.9 %
Falta de empleo,26.8,3,Jul 2008,26.8 %
Otro,21.5,4,Jul 2008,21.5 %
Corrupción,11.8,5,Jul 2008,11.8 %
Bajos sueldos,41.1,1,Aug 2008,41.1 %
Pobreza,35.8,2,Aug 2008,35.8 %
Falta de empleo,25.6,3,Aug 2008,25.6 %
Otro,21.5,4,Aug 2008,21.5 %
Corrupción,12.7,5,Aug 2008,12.7 %
Bajos sueldos,42.1,1,Sep 2008,42.1 %
Pobreza,35.5,2,Sep 2008,35.5 %
Falta de empleo,27.8,3,Sep 2008,27.8 %
Otro,19.6,4,Sep 2008,19.6 %
Corrupción,12.4,5,Sep 2008,12.4 %
Bajos sueldos,41.2,1,Oct 2008,41.2 %
Pobreza,33.6,2,Oct 2008,33.6 %
Falta de empleo,25.2,3,Oct 2008,25.2 %
Otro,20.7,4,Oct 2008,20.7 %
Corrupción,17.8,5,Oct 2008,17.8 %
Pobreza,37.3,1,Nov 2008,37.3 %
Bajos sueldos,35.3,2,Nov 2008,35.3 %
Falta de empleo,24.1,3,Nov 2008,24.1 %
Otro,20,4,Nov 2008,20 %
Corrupción,19.5,5,Nov 2008,19.5 %
Pobreza,36.6,1,Dec 2008,36.6 %
Bajos sueldos,33.7,2,Dec 2008,33.7 %
Falta de empleo,30.2,3,Dec 2008,30.2 %
Otro,20.6,4,Dec 2008,20.6 %
Corrupción,18.2,5,Dec 2008,18.2 %
Pobreza,38.3,1,Jan 2009,38.3 %
Falta de empleo,30.5,2,Jan 2009,30.5 %
Bajos sueldos,28.6,3,Jan 2009,28.6 %
Otro,20.2,4,Jan 2009,20.2 %
Corrupción,17.3,5,Jan 2009,17.3 %
Pobreza,39.8,1,Feb 2009,39.8 %
Falta de empleo,29.9,2,Feb 2009,29.9 %
Bajos sueldos,25.6,3,Feb 2009,25.6 %
Otro,20.5,4,Feb 2009,20.5 %
Corrupción,17,5,Feb 2009,17 %
Pobreza,39,1,Mar 2009,39 %
Falta de empleo,32.3,2,Mar 2009,32.3 %
Bajos sueldos,23,3,Mar 2009,23 %
Otro,21.3,4,Mar 2009,21.3 %
Corrupción,17.4,5,Mar 2009,17.4 %
Pobreza,40.6,1,Apr 2009,40.6 %
Falta de empleo,33.2,2,Apr 2009,33.2 %
Otro,22.2,3,Apr 2009,22.2 %
Bajos sueldos,20.7,4,Apr 2009,20.7 %
Corrupción,14.8,5,Apr 2009,14.8 %
Pobreza,41.6,1,May 2009,41.6 %
Falta de empleo,32.6,2,May 2009,32.6 %
Otro,23.8,3,May 2009,23.8 %
Bajos sueldos,18.9,4,May 2009,18.9 %
Corrupción,15.6,5,May 2009,15.6 %
Pobreza,38.6,1,Jun 2009,38.6 %
Falta de empleo,30,2,Jun 2009,30 %
Otro,26.6,3,Jun 2009,26.6 %
Bajos sueldos,18.6,4,Jun 2009,18.6 %
Corrupción,14.6,5,Jun 2009,14.6 %
Pobreza,39.1,1,Jul 2009,39.1 %
Falta de empleo,28.1,2,Jul 2009,28.1 %
Otro,25.3,3,Jul 2009,25.3 %
Corrupción,17.9,4,Jul 2009,17.9 %
Bajos sueldos,16.6,5,Jul 2009,16.6 %
Pobreza,43,1,Aug 2009,43 %
Falta de empleo,29.2,2,Aug 2009,29.2 %
Otro,24.3,3,Aug 2009,24.3 %
Corrupción,19.5,4,Aug 2009,19.5 %
Bajos sueldos,13.7,5,Aug 2009,13.7 %
Pobreza,39.1,1,Sep 2009,39.1 %
Falta de empleo,28.5,2,Sep 2009,28.5 %
Otro,24.8,3,Sep 2009,24.8 %
Corrupción,17.3,4,Sep 2009,17.3 %
Bajos sueldos,15.1,5,Sep 2009,15.1 %
Pobreza,40,1,Oct 2009,40 %
Falta de empleo,28.5,2,Oct 2009,28.5 %
Otro,26.7,3,Oct 2009,26.7 %
Corrupción,17.9,4,Oct 2009,17.9 %
Bajos sueldos,13.3,5,Oct 2009,13.3 %
Pobreza,35.5,1,Nov 2009,35.5 %
Falta de empleo,27.5,2,Nov 2009,27.5 %
Otro,27.2,3,Nov 2009,27.2 %
Corrupción,19.2,4,Nov 2009,19.2 %
Bajos sueldos,12.7,5,Nov 2009,12.7 %
Pobreza,40.9,1,Dec 2009,40.9 %
Otro,26.8,2,Dec 2009,26.8 %
Falta de empleo,26.4,3,Dec 2009,26.4 %
Corrupción,19,4,Dec 2009,19 %
Bajos sueldos,10.1,5,Dec 2009,10.1 %
Pobreza,36.3,1,Jan 2010,36.3 %
Otro,28,2,Jan 2010,28 %
Falta de empleo,27.2,3,Jan 2010,27.2 %
Corrupción,17.7,4,Jan 2010,17.7 %
Bajos sueldos,12.4,5,Jan 2010,12.4 %
Pobreza,40.1,1,Feb 2010,40.1 %
Otro,27.2,2,Feb 2010,27.2 %
Falta de empleo,26.6,3,Feb 2010,26.6 %
Corrupción,18.3,4,Feb 2010,18.3 %
Bajos sueldos,12.1,5,Feb 2010,12.1 %
Pobreza,38.2,1,Mar 2010,38.2 %
Otro,27.3,2,Mar 2010,27.3 %
Falta de empleo,27,3,Mar 2010,27 %
Corrupción,18.2,4,Mar 2010,18.2 %
Bajos sueldos,12.2,5,Mar 2010,12.2 %
Pobreza,36.1,1,Apr 2010,36.1 %
Otro,28.4,2,Apr 2010,28.4 %
Falta de empleo,26.6,3,Apr 2010,26.6 %
Corrupción,18.6,4,Apr 2010,18.6 %
Bajos sueldos,12.6,5,Apr 2010,12.6 %
Pobreza,38.6,1,May 2010,38.6 %
Falta de empleo,27.3,2,May 2010,27.3 %
Otro,26.2,3,May 2010,26.2 %
Corrupción,20,4,May 2010,20 %
Bajos sueldos,14,5,May 2010,14 %
Pobreza,37.8,1,Jun 2010,37.8 %
Otro,27.7,2,Jun 2010,27.7 %
Falta de empleo,27.2,3,Jun 2010,27.2 %
Corrupción,20.7,4,Jun 2010,20.7 %
Bajos sueldos,11.9,5,Jun 2010,11.9 %
Pobreza,37.2,1,Jul 2010,37.2 %
Otro,29.6,2,Jul 2010,29.6 %
Falta de empleo,24.4,3,Jul 2010,24.4 %
Corrupción,21,4,Jul 2010,21 %
Falta de seguridad ciudadana,12.1,5,Jul 2010,12.1 %
Pobreza,36,1,Aug 2010,36 %
Otro,29.7,2,Aug 2010,29.7 %
Falta de empleo,24,3,Aug 2010,24 %
Corrupción,21.1,4,Aug 2010,21.1 %
Falta de seguridad ciudadana,16.2,5,Aug 2010,16.2 %
Pobreza,35.1,1,Sep 2010,35.1 %
Otro,27.7,2,Sep 2010,27.7 %
Falta de empleo,23.4,3,Sep 2010,23.4 %
Corrupción,21.5,4,Sep 2010,21.5 %
Falta de seguridad ciudadana,14.5,5,Sep 2010,14.5 %
Pobreza,36.5,1,Oct 2010,36.5 %
Otro,28.1,2,Oct 2010,28.1 %
Falta de empleo,24.5,3,Oct 2010,24.5 %
Corrupción,21.8,4,Oct 2010,21.8 %
Falta de seguridad ciudadana,13.2,5,Oct 2010,13.2 %
Pobreza,34.5,1,Nov 2010,34.5 %
Otro,28.9,2,Nov 2010,28.9 %
Falta de empleo,25.1,3,Nov 2010,25.1 %
Corrupción,22.6,4,Nov 2010,22.6 %
Bajos sueldos,13.3,5,Nov 2010,13.3 %
Pobreza,37.6,1,Dec 2010,37.6 %
Otro,28.6,2,Dec 2010,28.6 %
Falta de empleo,25.8,3,Dec 2010,25.8 %
Corrupción,21.8,4,Dec 2010,21.8 %
Falta de seguridad ciudadana,14,5,Dec 2010,14 %
Pobreza,32.5,1,Jan 2011,32.5 %
Otro,29.3,2,Jan 2011,29.3 %
Falta de empleo,23,3,Jan 2011,23 %
Corrupción,21.6,4,Jan 2011,21.6 %
Bajos sueldos,16.3,5,Jan 2011,16.3 %
Pobreza,36.4,1,Feb 2011,36.4 %
Otro,27,2,Feb 2011,27 %
Falta de empleo,26.4,3,Feb 2011,26.4 %
Corrupción,21.7,4,Feb 2011,21.7 %
Falta de seguridad ciudadana,18,5,Feb 2011,18 %
Pobreza,37.9,1,Mar 2011,37.9 %
Otro,26.3,2,Mar 2011,26.3 %
Falta de empleo,25,3,Mar 2011,25 %
Corrupción,20.8,4,Mar 2011,20.8 %
Bajos sueldos,16.1,5,Mar 2011,16.1 %
Pobreza,38.3,1,Apr 2011,38.3 %
Falta de empleo,27.6,2,Apr 2011,27.6 %
Otro,27.2,3,Apr 2011,27.2 %
Corrupción,22.8,4,Apr 2011,22.8 %
Falta de seguridad ciudadana,19.2,5,Apr 2011,19.2 %
Pobreza,37.3,1,May 2011,37.3 %
Otro,26.4,2,May 2011,26.4 %
Falta de empleo,24.7,3,May 2011,24.7 %
Corrupción,22.2,4,May 2011,22.2 %
Falta de seguridad ciudadana,17.1,5,May 2011,17.1 %
Pobreza,35.9,1,Jun 2011,35.9 %
Otro,27.8,2,Jun 2011,27.8 %
Falta de empleo,24.8,3,Jun 2011,24.8 %
Corrupción,23.4,4,Jun 2011,23.4 %
Falta de seguridad ciudadana,18.4,5,Jun 2011,18.4 %
Pobreza,40.5,1,Jul 2011,40.5 %
Otro,26,2,Jul 2011,26 %
Falta de empleo,24.3,3,Jul 2011,24.3 %
Corrupción,23.2,4,Jul 2011,23.2 %
Falta de seguridad ciudadana,19.7,5,Jul 2011,19.7 %
Pobreza,39.4,1,Aug 2011,39.4 %
Otro,26.1,2,Aug 2011,26.1 %
Falta de seguridad ciudadana,24.4,3,Aug 2011,24.4 %
Falta de empleo,22.5,4,Aug 2011,22.5 %
Corrupción,22,5,Aug 2011,22 %
Pobreza,34.9,1,Sep 2011,34.9 %
Otro,29.8,2,Sep 2011,29.8 %
Falta de empleo,22.6,3,Sep 2011,22.6 %
Falta de seguridad ciudadana,21.6,4,Sep 2011,21.6 %
Corrupción,21.5,5,Sep 2011,21.5 %
Pobreza,36,1,Oct 2011,36 %
Otro,33.1,2,Oct 2011,33.1 %
Corrupción,22.2,3,Oct 2011,22.2 %
Falta de empleo,20.7,4,Oct 2011,20.7 %
Falta de seguridad ciudadana,19.5,5,Oct 2011,19.5 %
Pobreza,36.2,1,Nov 2011,36.2 %
Otro,29.3,2,Nov 2011,29.3 %
Corrupción,24.3,3,Nov 2011,24.3 %
Falta de empleo,21.9,4,Nov 2011,21.9 %
Falta de seguridad ciudadana,16.2,5,Nov 2011,16.2 %
Pobreza,35,1,Dec 2011,35 %
Otro,29.3,2,Dec 2011,29.3 %
Falta de empleo,21.6,3,Dec 2011,21.6 %
Corrupción,20.8,4,Dec 2011,20.8 %
Falta de seguridad ciudadana,17.8,5,Dec 2011,17.8 %
Pobreza,36.8,1,Jan 2012,36.8 %
Falta de empleo,24.5,2,Jan 2012,24.5 %
Otro,23.2,3,Jan 2012,23.2 %
Corrupción,23,4,Jan 2012,23 %
Delincuencia,19.8,5,Jan 2012,19.8 %
Pobreza,35.1,1,Feb 2012,35.1 %
Delincuencia,24.9,2,Feb 2012,24.9 %
Corrupción,24.3,3,Feb 2012,24.3 %
Otro,24.3,4,Feb 2012,24.3 %
Falta de empleo,23.6,5,Feb 2012,23.6 %
Pobreza,34.5,1,Mar 2012,34.5 %
Otro,26,2,Mar 2012,26 %
Delincuencia,23,3,Mar 2012,23 %
Corrupción,22.9,4,Mar 2012,22.9 %
Falta de empleo,22.2,5,Mar 2012,22.2 %
Pobreza,36.6,1,Apr 2012,36.6 %
Otro,28.4,2,Apr 2012,28.4 %
Corrupción,24.7,3,Apr 2012,24.7 %
Delincuencia,23.2,4,Apr 2012,23.2 %
Falta de empleo,22.8,5,Apr 2012,22.8 %
Pobreza,35.7,1,May 2012,35.7 %
Otro,27.9,2,May 2012,27.9 %
Delincuencia,25.1,3,May 2012,25.1 %
Corrupción,22.9,4,May 2012,22.9 %
Falta de empleo,22.3,5,May 2012,22.3 %
Pobreza,35.7,1,Jun 2012,35.7 %
Otro,30,2,Jun 2012,30 %
Delincuencia,27.5,3,Jun 2012,27.5 %
Falta de empleo,24,4,Jun 2012,24 %
Corrupción,21.9,5,Jun 2012,21.9 %
Pobreza,34.4,1,Jul 2012,34.4 %
Otro,26.5,2,Jul 2012,26.5 %
Delincuencia,25.3,3,Jul 2012,25.3 %
Corrupción,23.6,4,Jul 2012,23.6 %
Falta de empleo,21.6,5,Jul 2012,21.6 %
Pobreza,34.1,1,Aug 2012,34.1 %
Delincuencia,27.2,2,Aug 2012,27.2 %
Otro,24.1,3,Aug 2012,24.1 %
Corrupción,24,4,Aug 2012,24 %
Falta de empleo,20.8,5,Aug 2012,20.8 %
Pobreza,34.8,1,Sep 2012,34.8 %
Otro,26.5,2,Sep 2012,26.5 %
Delincuencia,25.7,3,Sep 2012,25.7 %
Corrupción,23.1,4,Sep 2012,23.1 %
Falta de empleo,20.9,5,Sep 2012,20.9 %
Pobreza,31.5,1,Oct 2012,31.5 %
Otro,27.6,2,Oct 2012,27.6 %
Delincuencia,27.2,3,Oct 2012,27.2 %
Corrupción,23.2,4,Oct 2012,23.2 %
Falta de empleo,20,5,Oct 2012,20 %
Pobreza,32.1,1,Nov 2012,32.1 %
Delincuencia,28.4,2,Nov 2012,28.4 %
Otro,25.7,3,Nov 2012,25.7 %
Corrupción,22.8,4,Nov 2012,22.8 %
Falta de empleo,18.8,5,Nov 2012,18.8 %
Pobreza,32.1,1,Dec 2012,32.1 %
Delincuencia,28,2,Dec 2012,28 %
Otro,25.6,3,Dec 2012,25.6 %
Corrupción,24.3,4,Dec 2012,24.3 %
Falta de empleo,19.4,5,Dec 2012,19.4 %
Pobreza,35.4,1,Jan 2013,35.4 %
Delincuencia,31,2,Jan 2013,31 %
Corrupción,28.8,3,Jan 2013,28.8 %
Otro,22,4,Jan 2013,22 %
Falta de empleo,21.8,5,Jan 2013,21.8 %
Pobreza,35,1,Feb 2013,35 %
Delincuencia,29.6,2,Feb 2013,29.6 %
Corrupción,28.1,3,Feb 2013,28.1 %
Otro,23.5,4,Feb 2013,23.5 %
Falta de empleo,18.9,5,Feb 2013,18.9 %
Delincuencia,34.7,1,Mar 2013,34.7 %
Pobreza,34,2,Mar 2013,34 %
Corrupción,25.8,3,Mar 2013,25.8 %
Otro,20.4,4,Mar 2013,20.4 %
Falta de empleo,19.7,5,Mar 2013,19.7 %
Delincuencia,35.8,1,Apr 2013,35.8 %
Pobreza,35.3,2,Apr 2013,35.3 %
Corrupción,24.1,3,Apr 2013,24.1 %
Otro,20.8,4,Apr 2013,20.8 %
Falta de empleo,19,5,Apr 2013,19 %
Delincuencia,36.8,1,May 2013,36.8 %
Pobreza,34.9,2,May 2013,34.9 %
Corrupción,26.1,3,May 2013,26.1 %
Falta de empleo,20.3,4,May 2013,20.3 %
Otro,17.9,5,May 2013,17.9 %
Pobreza,35.6,1,Jun 2013,35.6 %
Delincuencia,35.4,2,Jun 2013,35.4 %
Corrupción,25.8,3,Jun 2013,25.8 %
Falta de empleo,19.2,4,Jun 2013,19.2 %
Otro,18.8,5,Jun 2013,18.8 %
